Model,Metric,Subset,Reported,Reproduced,AbsDiff,PctDiff
R-BERT,Recall,SE.3,0.28,0.1836,-0.0964,-34.43
R-BERT,Recall,SE.4,0.56,0.3246,-0.2354,-42.04
R-BERT,Recall,SE.5,0.69,0.554,-0.136,-19.71
R-BERT,Recall,SE.6,0.77,0.7235,-0.0465,-6.04
R-BERT,Recall,SE.7,0.81,0.7944,-0.0156,-1.93
R-BERT,Recall,SE.8,0.83,0.8274,-0.0026,-0.31
R-BERT,F-score,SE.1,0.07,0.0534,-0.0166,-23.71
R-BERT,F-score,SE.2,0.11,0.0599,-0.0501,-45.55
R-BERT,F-score,SE.3,0.27,0.1675,-0.1025,-37.96
R-BERT,F-score,SE.4,0.54,0.3477,-0.1923,-35.61
R-BERT,F-score,SE.5,0.69,0.5731,-0.1169,-16.94
R-BERT,F-score,SE.6,0.76,0.7281,-0.0319,-4.2
R-BERT,F-score,SE.7,0.79,0.7906,0.0006,0.08
R-BERT,F-score,SE.8,0.81,0.8184,0.0084,1.04
MTB,Accuracy,SE.1,0.19,0.1711,-0.0189,-9.95
MTB,Accuracy,SE.2,0.22,0.1895,-0.0305,-13.86
MTB,Accuracy,SE.3,0.38,0.3795,-0.0005,-0.13
MTB,Accuracy,SE.4,0.59,0.5631,-0.0269,-4.56
MTB,Accuracy,SE.5,0.71,0.7258,0.0158,2.23
MTB,Accuracy,SE.6,0.78,0.7987,0.0187,2.4
MTB,Accuracy,SE.7,0.83,0.8355,0.0055,0.66
MTB,Accuracy,SE.8,0.85,0.8583,0.0083,0.98
MTB,Precision,SE.1,0.19,0.0685,-0.1215,-63.95
MTB,Precision,SE.2,0.23,0.1629,-0.0671,-29.17
MTB,Precision,SE.3,0.32,0.3249,0.0049,1.53
MTB,Precision,SE.4,0.58,0.5134,-0.0666,-11.48
MTB,Precision,SE.5,0.69,0.7199,0.0299,4.33
MTB,Precision,SE.6,0.74,0.7728,0.0328,4.43
MTB,Precision,SE.7,0.76,0.7983,0.0383,5.04
MTB,Precision,SE.8,0.79,0.8213,0.0313,3.96
MTB,Recall,SE.1,0.11,0.0923,-0.0177,-16.09
MTB,Recall,SE.2,0.12,0.1022,-0.0178,-14.83
MTB,Recall,SE.3,0.25,0.2922,0.0422,16.88
MTB,Recall,SE.4,0.51,0.4854,-0.0246,-4.82
MTB,Recall,SE.5,0.66,0.662,0.002,0.3
MTB,Recall,SE.6,0.73,0.7535,0.0235,3.22
MTB,Recall,SE.7,0.78,0.8082,0.0282,3.62
MTB,Recall,SE.8,0.8,0.838,0.038,4.75
MTB,F-score,SE.1,0.03,0.0648,0.0348,116.0
MTB,F-score,SE.2,0.09,0.0842,-0.0058,-6.44
MTB,F-score,SE.3,0.2,0.2743,0.0743,37.15
MTB,F-score,SE.4,0.51,0.4874,-0.0226,-4.43
MTB,F-score,SE.5,0.67,0.6757,0.0057,0.85
MTB,F-score,SE.6,0.74,0.7555,0.0155,2.09
MTB,F-score,SE.7,0.78,0.8015,0.0215,2.76
MTB,F-score,SE.8,0.8,0.8287,0.0287,3.59
